comment_count,content,forward_count,id,keyword,like_count,posted_at,url,user
,我刚刚调仓了微博股票【A股组合】长命股市长命炒 zh252950，以成交价1.65卖出$包钢股份 sh600010$。 ​​​,,GD5He7kLT,600010,0,2018年10月09日 11:03,https://weibo.cn/comment/GD5He7kLT?uid=5473988122&rl=1,红烛殿香
1,603713先等指令600010也先等指令！ ​​​,,GD5hrex8r,600010,7,2018年10月09日 10:00,https://weibo.cn/comment/GD5hrex8r?uid=1824877495&rl=1,99桃叶者
,9:08 包钢股份600010 稀土板块节前最后一个交易日表现强势，板块指数大涨3个点，成功博取了市场眼球，一般这种博取眼球的品种，在短期休息之后，再度活跃的概率比较大。大家跟踪关注一下！上证指数 sh000001 ​​​,,GD4X8ctUV,600010,0,2018年10月09日 09:10,https://weibo.cn/comment/GD4X8ctUV?uid=2499823723&rl=1,老陈分析解盘
22,#股市风暴[超话]# 一个种大豆的豆农跟我说这哥们在俄罗斯种大豆，差不多二十来年了，是黑龙江建设兵团第一批输出的产业农民，他大清早跟我聊今年的大豆产量价格和销路，完了说：大树这小子对我脾气，他选的那个股票真好。跌的时候就三两分钱震荡，涨的时候呼的一下就涨停板。我问是不是包钢股份。他说：是啊。去俄罗斯收大豆时买了些，大豆卖了回收货款又买了些，就一直是1.5元，涨一分钱跌一分钱，原地踏步感觉很踏实。等他8月份从欧洲转一圈回来，这玩意还是1.5，去了一趟东南亚，九月份回来还是1.5，就像大树说的，买包钢就是图个稳当。跟存款似的放哪儿都不惦记会没了，谁知道他一起涨就是个涨停板。这玩意真好。我说那是你跟的晚，要是早一点的话套你30%很轻松的。他说：你这就是抬杠了，你跟我说说那个股票没跌？茅台厉害不？八百多不照样跌六百多吗。再说了包钢这么便宜的，涨七块钱都差不多5倍了不显山不露水，茅台涨五倍3500那地球上都放不下了。我说你还是要注意风险，资金大一下子压在一只股票上太冒险，他说九月份回款以后，这些钱要到下年三月份开冻才有用，六个月放银行没多少利息，放高利贷怕收不回来本，放包钢多好的，三月份涨到1.9就够了，比种一季大豆赚的还多。知足了，最差的结果1.55卖了也不折本。和他说完话，我一直忧心忡忡，但是又觉得他说的很有道理，不知道包钢能不能下个月就涨到1.95元，多给他5分钱赶紧花40万买一套软件，让我赶紧换个新手机，眼看着5g就要来了，不换手机都跟不上时代的节奏了……十月一日开始，我们红点点不休息，欢迎大家来公司，听树哥讲讲软件的应用技巧和方法，听懂了之后买套软件，不买软件也学个方法和正确的理念，多用点心说不定还能选个好股，类似包钢股份那样的稳重成熟的，求个心安。还有乐视网那个孙猴子变的猴精，上蹿下跳，图个刺激。找树哥刻不容缓@股市风暴大树 @股期风暴老宋 @股市风暴小慕 #九月再见#,25,GBzLS0f30,600010,68,2018年09月29日 11:56,https://weibo.cn/comment/GBzLS0f30?rl=1,股市风暴王新平
90,【住手！】凌钢股份（600231）收到财政补助7.9亿元；包钢股份（600010）和重庆钢铁（601005）获得当地政府财政补贴分别为5.8亿元和1.5亿元。如果各地政府都如此补贴下去，中央提出的“去产能”如何实现？？？？？如此补贴，纳税人同意了吗？？？如此补贴，证监会不管管吗？？？ ​​​,368,DaoYn4TEA,600010,204,2015-12-27 22:36:23,https://weibo.cn/comment/DaoYn4TEA?uid=1889213710&rl=1,刘胜军改革
13,【连维良：电力、石油等竞争性环节明年将真正放开】利好：长江电力（600900），如华能国际（600011）对石油天然气而言，各环节中城市燃气相对看好，相关上市公司如光正集团（002524）、大通燃气（000593）、中天能源（600856）、金鸿能源（000669）等。 ​​​,12,D8jR1ialT,600011,741,2015-12-14 05:53:56,https://weibo.cn/comment/D8jR1ialT?uid=1917488115&rl=1,赵子龙之云看盘
,中国股市资深私募独创尾盘选股涨停绝技，散户标配的盈利策略，深度好文#中国国贸 sh600007[股票]# #华能国际 sh600011[股票]# #首创股份 sh600008[股票]# 智超财经的秒拍视频 ​​​,,GCYK24LcL,600011,0,2018年10月08日 17:21,https://weibo.cn/comment/GCYK24LcL?uid=5524088589&rl=1,智超财经
,中国股市迎来最新股票消息：福建高速 招商银行 黄山旅游 中原高速#西仪股份 sz002265[股票]# #建投能源 sz000600[股票]# #桐昆股份 sh601233[股票]# #华能国际 sh600011[股票]# 庸人自扰ihappy的秒拍视频 ​​​,,GCYRbAhlZ,600011,0,2018年10月08日 17:38,https://weibo.cn/comment/GCYRbAhlZ?uid=6346588191&rl=1,庸人自扰ihappy
,中国股市长线炒股技巧：熊市空仓实战案例#包钢股份 sh600010[股票]# #华能国际 sh600011[股票]# #皖通高速 sh600012[股票]# 子茜财经的秒拍视频 ​​​,,GCYQKqiPr,600011,0,2018年10月08日 17:37,https://weibo.cn/comment/GCYQKqiPr?uid=6585090269&rl=1,子茜财经
,中国股市一位股市高手首次揭秘：一旦熟知“尾盘选股”战法，即将起飞冲天#中国国贸 sh600007[股票]# #华能国际 sh600011[股票]# #首创股份 sh600008[股票]# 智超财经的秒拍视频 ​​​,,GCYWt0pBl,600011,0,2018年10月08日 17:51,https://weibo.cn/comment/GCYWt0pBl?uid=5524088589&rl=1,智超财经
,中国股市华尔街最牛短线客：用最简单的方法选股，让你彻底的翻盘#华夏银行 sh600015[股票]# #民生银行 sh600016[股票]# #宁波联合 sh600051[股票]# 智超财经的秒拍视频 ​​​,,GCYK81Cii,600015,0,2018年10月08日 17:21,https://weibo.cn/comment/GCYK81Cii?uid=5524088589&rl=1,智超财经
19,【华夏银行：拟非公开发行25.65亿股 募资不超过292亿元】华夏银行(600015)17日晚间公告，公司拟向首钢集团、国网英大和京投公司非公开发行不超25.65亿股，募资不超292.36亿元，用于补充核心一级资本。首钢集团、国网英大、京投公司分别认购不超5.2亿股、7.37亿股、13.07亿股。此次发行前，首钢集团和国网英大分别持股20.28%、18.24%，京投公司不持有公司股份。首钢集团、京投公司实控人为北京市国资委，国网英大实控人为国务院国资委。华夏银行：拟非公开发行25.65亿股 募资不超过292亿元,23,GzMrakjQF,600015,14,2018年09月17日 16:31,https://weibo.cn/comment/GzMrakjQF?uid=1801487174&rl=1,东方财富网
,A股最强悍的第一指标——次次都卖在最高点，从不被套！#皖通高速 sh600012[股票]# #华夏银行 sh600015[股票]# #民生银行 sh600016[股票]# 宇默文评股的秒拍视频 ​​​,,GCZrU8Bg6,600015,0,2018年10月08日 19:09,https://weibo.cn/comment/GCZrU8Bg6?uid=6364562199&rl=1,宇默文评股
,中国股市真正炒股赚钱只有一种人：尾盘选股秘密，看懂一辈子挣得万贯家财#华夏银行 sh600015[股票]# #民生银行 sh600016[股票]# #宁波联合 sh600051[股票]# 智超财经的秒拍视频 ​​​,,GCYWzeER7,600015,0,2018年10月08日 17:52,https://weibo.cn/comment/GCYWzeER7?uid=5524088589&rl=1,智超财经
,心得：背熟MACD的买进方法，买卖点从未错过！#华夏银行 sh600015[股票]# #民生银行 sh600016[股票]# #宁波联合 sh600051[股票]# 宜甲甲的秒拍视频 ​​​,,GCYFCvvDy,600015,0,2018年10月08日 17:10,https://weibo.cn/comment/GCYFCvvDy?uid=3972308486&rl=1,宜甲甲
,中国股市炒股必备套路，学来短线炒股操作不用愁！#华夏银行 sh600015[股票]# #民生银行 sh600016[股票]# #日照港 sh600017[股票]# 子茜财经的秒拍视频 ​​​,,GCYQQlhTD,600015,0,2018年10月08日 17:38,https://weibo.cn/comment/GCYQQlhTD?uid=6585090269&rl=1,子茜财经
47,聊天神侃整理 一群人神侃，关于$上证指数 sh000001$ $中国平安 sh601318$ $民生银行 sh600016$ 等等等等，最后还聊到了火锅啥的，结果没人整理，哎！可惜了，那才是重点。 ​​​,29,FwgA3zd0H,600016,173,2017-11-22 15:09:48,https://weibo.cn/comment/FwgA3zd0H?uid=1769469393&rl=1,亟兮般若
,#上港集团 sh600018[股票]# 近期小幅反弹后回调中，考虑大盘止跌再补会更安全。 ​​​,,GCW3h7xf5,600018,0,2018年10月08日 10:30,https://weibo.cn/comment/GCW3h7xf5?uid=5860511078&rl=1,-博股通今
